id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
cc769a02-c7e8-4f3a-ab49-c1f33d3f02c8,confess.memorial,available,52.99,52.99,high,low,7,namesilo,,,
7e322303-af93-4a2c-93bb-db906ab158af,pipe.memorial,available,52.99,52.99,high,low,4,namesilo,,,
2be30005-6520-4cd9-99e4-1d43872b3921,orangutan.memorial,available,52.99,52.99,high,low,9,namesilo,,,
f38bd849-0857-4086-9b55-634035da5382,teacher.memorial,available,52.99,52.99,high,low,7,namesilo,,,
a44eb91d-3507-400b-a438-d16a405daaf1,lowered.memorial,available,52.99,52.99,high,low,7,namesilo,,,
65caffae-57e4-43b6-818c-cf659004da97,agape.memorial,available,52.99,52.99,high,low,5,namesilo,,,
6b552af3-4c3b-408e-9c14-9a6fbbec1aa2,informally.memorial,available,52.99,52.99,medium,low,10,namesilo,,,
cc7e02d1-0c81-468e-b5ff-aaec2dd89348,journalism.memorial,available,52.99,52.99,high,low,10,namesilo,,,
26f8e98a-b6fb-49dd-90b5-9a81396d960e,probably.memorial,available,52.99,52.99,high,low,8,namesilo,,,
c52c1469-c48b-451d-b935-b88533d92e94,siberian.memorial,available,52.99,52.99,high,low,8,namesilo,,,
6b67b30f-57a1-4a6c-8d17-0c62e5717623,announce.memorial,available,52.99,52.99,high,low,8,namesilo,,,
b4b3e06f-132c-43d3-97a8-61ea83d49b67,have.memorial,available,52.99,52.99,high,low,4,namesilo,,,
6d653191-f7bf-415d-b24e-48be5cb13a59,antenna.memorial,available,64.98,,high,low,7,namecheap,,,
738927a9-402c-4d2a-8cb7-67b0b242f2b6,yesterday.memorial,available,52.99,52.99,high,low,9,namesilo,,,
3161d47c-9ff0-436f-a15f-6cd71d147a2f,obey.memorial,available,52.99,52.99,high,low,4,namesilo,,,
e86834cc-cf26-4502-8798-548bb4582bd5,plier.memorial,available,52.99,52.99,high,low,5,namesilo,,,
fcedf5dd-8b6d-44ed-9108-cb516919fd7d,whilst.memorial,available,52.99,52.99,medium,low,6,namesilo,,,
495ef4a4-cafc-429a-be32-70ffbd4d012c,complain.memorial,available,52.99,52.99,high,low,8,namesilo,,,
f0619f27-deed-411c-9d32-c03f29945231,thus.memorial,available,64.98,,high,low,4,namecheap,,,
bfb4bfda-6d05-42d6-9360-77003c6e1b2e,phantasmal.memorial,available,52.99,52.99,medium,low,10,namesilo,,,06/08/2026 05:33
e0d57fd2-6203-41a1-bcf6-b0e4591af845,roller.memorial,available,64.98,,high,low,6,namecheap,,,
2188af10-fe77-499c-889f-d678970f7031,invincible.memorial,available,52.99,52.99,high,low,10,namesilo,,,
32ff542d-e328-42a5-8c2d-77b682db7357,mcdonald.memorial,available,52.99,52.99,high,low,8,namesilo,,,
74b531a1-87dc-4c56-8079-9f673e9a827f,torch.memorial,available,52.99,52.99,high,low,5,namesilo,,,
175a68a6-eba9-4d8b-849f-10c6785e1f91,autogenic.memorial,available,52.99,52.99,medium,low,9,namesilo,,,07/08/2026 20:21
40d8db37-bed9-4ded-97ee-ad3d349918e4,report.memorial,available,52.99,52.99,high,low,6,namesilo,,,
c1746181-2bf4-4c84-a016-e74c525cfe3c,abscessed.memorial,available,52.99,52.99,medium,low,9,namesilo,,,
1cdd505b-39f2-4ad5-8470-53da1561cc7c,needs.memorial,available,52.99,52.99,high,low,5,namesilo,,,
24699825-c868-4e48-b1f0-0ed33dda31db,axis.memorial,available,52.99,52.99,high,medium,4,namesilo,,,
19005d66-0bf9-4038-b5ef-62a4f7c65ff2,spin.memorial,available,52.99,52.99,high,low,4,namesilo,,,
f9058a6e-6eaf-4e0e-b74e-a89b60ec6ec7,aciculate.memorial,available,52.99,52.99,medium,low,9,namesilo,,,
29c07906-c903-4104-92c7-40b256f5902a,adviseable.memorial,available,52.99,52.99,high,low,10,namesilo,,,
5137e46f-6b30-440b-acfb-c6a460b658ea,tomorrow.memorial,available,52.99,52.99,high,medium,8,namesilo,,,
